T,v_threshold,Global_Sparsity,Global_Avg_Rate,layer_0,layer_1,layer_2
10,0.5,0.8693824404229721,0.13061755957702795,0.09872448444366455,0.01812818832695484,0.2750000059604645
10,1.0,0.9965614372243484,0.0034385627756516137,0.010315688326954842,0.0,0.0
10,1.5,1.0,0.0,0.0,0.0,0.0
10,2.0,1.0,0.0,0.0,0.0,0.0
20,0.5,0.9109019593646129,0.08909804063538711,0.06018315255641937,0.003985969349741936,0.203125
20,1.0,0.9898175094276667,0.010182490572333336,0.030547471717000008,0.0,0.0
20,1.5,1.0,0.0,0.0,0.0,0.0
20,2.0,1.0,0.0,0.0,0.0,0.0
30,0.5,0.9973127922664086,0.0026872077335913977,0.008061623200774193,0.0,0.0
30,1.0,0.9993738706689328,0.0006261293310672045,0.0018783879932016134,0.0,0.0
30,1.5,1.0,0.0,0.0,0.0,0.0
30,2.0,1.0,0.0,0.0,0.0,0.0
